setting	HI_present	LO_absent	ANC_absent	free_min_A	free_min_B	A_akk_branch	B_shared_ancestor	C_akk_enriched	D_cand_specific	retained	gap_1to2_free	B_over_A
baseline	70	10	5	3	5	57	1047	34	55	1026	12	18.4
HI=60	60	10	5	3	5	69	1047	62	69	1068	19	15.2
HI=80	80	10	5	3	5	39	1047	25	36	937	8	26.8
LO=5	70	5	5	3	5	45	1047	29	48	1026	6	23.3
LO=15	70	15	5	3	5	72	1047	39	67	1026	17	14.5
ANC=10	70	10	10	3	5	57	1097	34	55	1026	12	19.2
FA=2	70	10	5	2	5	60	1047	34	55	1026	9	17.4
FA=4	70	10	5	4	5	53	1047	34	55	1026	16	19.8
FB=4	70	10	5	3	4	57	1368	34	55	1026	12	24.0
FB=6	70	10	5	3	6	57	821	34	55	1026	12	14.4
all_loose	60	15	10	2	4	101	1435	69	81	1068	13	14.2
all_strict	80	5	5	4	6	32	821	20	32	937	6	25.7
