animal_id	dataset	host_species	host_order	diet	host_animal_type	host_class	captivity_status	n_candidate_genomes	sample_id	genomes
ERS22453889	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	2	AJP69	EHM047944;EHM047953
ERS22453891	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP49	EHM047810
ERS22453892	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP38	EHM047778
ERS22453895	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP60	EHM059937
ERS22453896	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	2	AJP41	EHM059625;EHM059649
ERS22453898	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP56	EHM047764
ERS22453900	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	2	AJP40	EHM059951;EHM059967
ERS22453901	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP64	EHM059794
ERS22453904	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP63	EHM062335
ERS22455844	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP59	EHM059669
ERS22455845	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP61	EHM060011
ERS22455847	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP67	EHM060141
ERS22455849	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	2	AJP42	EHM060058;EHM060080
ERS22455850	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP44	EHM059885
ERS22455854	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP43	EHM062140
ERS22455855	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	2	AJP48	EHM047981;EHM048000
ERS22455856	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP47	EHM047852
ERS22455857	EHI_2025	Calotriton asper	NA	NA	salamander_caudate	amphibian	wild	1	AJP55	EHM047896
ERS22455865	EHI_2025	Lissotriton helveticus	NA	NA	salamander_caudate	amphibian	wild	1	AAO95	EHM034849
ERS22455870	EHI_2025	Lissotriton helveticus	NA	NA	salamander_caudate	amphibian	wild	1	AAP80	EHM034674
ERS22455871	EHI_2025	Lissotriton helveticus	NA	NA	salamander_caudate	amphibian	wild	1	AGO48	EHM058641
ERS22455875	EHI_2025	Lissotriton helveticus	NA	NA	salamander_caudate	amphibian	wild	1	AGO98	EHM058900
ERS22455877	EHI_2025	Lissotriton helveticus	NA	NA	salamander_caudate	amphibian	wild	1	AGO37	EHM058709
ERS22455919	EHI_2025	Lissotriton helveticus	NA	NA	salamander_caudate	amphibian	wild	1	AGO11	EHM059280
