family	NOVEL	AKK_all	Luteolibacter	Haloferula	Rubritalea	Roseibacillus	Roseibacillus_B	SW10	Oceaniferula	UBA956
GH92	66.7	0.9	31.7	55.6	0.0	40.0	44.4	9.1	15.8	16.7
GH139	64.8	0.3	35.2	22.2	6.2	0.0	0.0	6.1	15.8	41.7
GH120	62.9	0.9	23.4	11.1	0.0	0.0	5.6	0.0	26.3	0.0
PL33	61.9	1.2	13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GH154	56.2	0.9	25.5	29.6	0.0	0.0	0.0	0.0	0.0	8.3
GH38	55.2	1.4	30.3	40.7	31.2	0.0	0.0	3.0	21.1	25.0
CBM91	54.3	0.9	27.6	51.9	0.0	0.0	44.4	3.0	5.3	8.3
GT92	53.3	7.5	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GH73	70.5	25.7	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GH97	65.7	35.3	30.3	81.5	0.0	100.0	5.6	21.2	10.5	0.0
GH105	72.4	43.1	50.3	22.2	37.5	0.0	0.0	21.2	36.8	0.0
GH74	55.2	15.0	25.5	14.8	0.0	0.0	5.6	42.4	5.3	16.7
GH75	80.0	31.2	82.1	81.5	100.0	100.0	61.1	81.8	89.5	100.0
GH18	11.4	78.6	16.6	40.7	6.2	0.0	27.8	21.2	5.3	16.7
GH163	1.9	42.8	11.0	3.7	0.0	0.0	22.2	12.1	5.3	0.0
GH141	63.8	10.1	55.9	70.4	31.2	60.0	11.1	36.4	47.4	75.0
GH151	48.6	0.0	7.6	7.4	18.8	0.0	0.0	0.0	36.8	0.0
