protein	pfam	product
EHM034674|EHA02355_bin.24_gene_123_8	ADK_lid,Phage_holin_3_6,YmiA-like,Zn_ribbon_4	ADK_lid,Phage_holin_3_6,YmiA-like,Zn_ribbon_4
EHM034674|EHA02355_bin.24_gene_139_6	GAF,GAF_2,GAF_3,GAF_EFCB5_2nd	GAF,GAF_2,GAF_3,GAF_EFCB5_2nd
EHM034674|EHA02355_bin.24_gene_326_2	CSD,KOW4_SPT5,NYN,USA1_M	CSD,KOW4_SPT5,NYN,USA1_M
EHM034674|EHA02355_bin.24_gene_370_8	Cytidylate_kin2	Cytidylate_kin2
EHM034674|EHA02355_bin.24_gene_58_10	ClpS,DUF7563	ClpS,DUF7563
EHM034692|EHA02331_bin.15_gene_221_12	GAF,GAF_2,GAF_3,GAF_EFCB5_2nd	GAF,GAF_2,GAF_3,GAF_EFCB5_2nd
EHM034692|EHA02331_bin.15_gene_255_7	CSD,KOW4_SPT5,NYN,USA1_M	CSD,KOW4_SPT5,NYN,USA1_M
EHM034692|EHA02331_bin.15_gene_266_1	ABC_tran_CTD,ATG16,CEP135_TSGA10_CC,Cnn_1N,DUF3347,DUF3450,HpsJ,NAD_Gly3P_dh_N,PI3K_P85_iSH2,TPR_MLP1_2,UPF0242	ABC_tran_CTD,ATG16,CEP135_TSGA10_CC,Cnn_1N,DUF3347,DUF3450,HpsJ,NAD_Gly3P_dh_N,PI3K_P85_iSH2,TPR_MLP1_2,UPF0242
EHM034692|EHA02331_bin.15_gene_55_3	ClpS	ClpS
EHM034692|EHA02331_bin.15_gene_73_6	Cytidylate_kin2	Cytidylate_kin2
EHM034692|EHA02331_bin.15_gene_87_31	DUF7890	DUF7890
EHM034720|EHA02359_bin.2_gene_137_9	CSD,NYN,USA1_M	CSD,NYN,USA1_M
EHM034720|EHA02359_bin.2_gene_56_8	ClpS,DcsG_N,zf-SCNM1	ClpS,DcsG_N,zf-SCNM1
EHM034720|EHA02359_bin.2_gene_56_9	DUF2017	DUF2017
EHM034720|EHA02359_bin.2_gene_57_3	GAF,GAF_2	GAF,GAF_2
EHM034720|EHA02359_bin.2_gene_70_4		
STP248.12601_R.bin.118|k141_129934_115		
STP248.12601_R.bin.118|k141_465240_36	CSD,KOW4_SPT5,NYN	CSD,KOW4_SPT5,NYN
STP248.12601_R.bin.118|k141_588353_86	GAF,GAF_2	GAF,GAF_2
STP248.12601_R.bin.118|k141_666362_24	ClpS,DcsG_N	ClpS,DcsG_N
UHM1073.23039_R.bin.125|k141_311317_127	ADK_lid,Arif-1,DUF6480,LapA_dom,Phage_holin_3_6,PH_40,Zn_ribbon_4	ADK_lid,Arif-1,DUF6480,LapA_dom,Phage_holin_3_6,PH_40,Zn_ribbon_4
UHM1073.23039_R.bin.125|k141_490033_101	GAF,GAF_2,GAF_EFCB5_2nd	GAF,GAF_2,GAF_EFCB5_2nd
UHM1073.23039_R.bin.125|k141_490033_26	CSD,KOW4_SPT5,NYN,USA1_M	CSD,KOW4_SPT5,NYN,USA1_M
