genome	arm	from_dataset	checkm_completeness	n_cazy_families	taxonomic_level	clade_separation_score	contamination_portion	reference_representation_score	mean_hit_identity	n_contigs	pass_gunc	strict_chimera
EHM034529	Akkermansia_amph	EHI_2025	100.00	46	order	0.170	0.020	0.430	0.600	176	pass	no
EHM034545	Akkermansia_amph	EHI_2025	100.00	46	phylum	0.120	0.120	0.470	0.590	170	pass	no
EHM034581	Akkermansia_amph	EHI_2025	100.00	55	phylum	0.400	0.060	0.620	0.740	83	pass	no
EHM034590	Akkermansia_amph	EHI_2025	83.22	38	class	0.390	0.050	0.440	0.610	520	pass	no
EHM034661	Akkermansia_amph	EHI_2025	100.00	55	phylum	0.150	0.030	0.630	0.750	74	pass	no
EHM034674	candidate	EHI_2025	97.98	64	order	0.160	0.120	0.410	0.580	376	pass	no
EHM034692	candidate	EHI_2025	96.65	65	order	0.140	0.120	0.380	0.580	299	pass	no
EHM034720	candidate	EHI_2025	96.42	44	order	0.110	0.040	0.400	0.570	257	pass	no
EHM034722	Akkermansia_amph	EHI_2025	86.22	45	class	0.310	0.060	0.420	0.610	474	pass	no
EHM034774	candidate	EHI_2025	100.00	66	class	0.070	0.140	0.420	0.580	94	pass	no
EHM034775	Akkermansia_amph	EHI_2025	86.65	52	kingdom	0.000	0.000	0.700	0.760	358	pass	no
EHM034790	Akkermansia_amph	EHI_2025	99.99	52	phylum	0.260	0.060	0.660	0.750	76	pass	no
EHM034802	candidate	EHI_2025	99.98	67	phylum	0.040	0.240	0.450	0.560	59	pass	no
EHM034803	Akkermansia_amph	EHI_2025	100.00	46	class	0.120	0.050	0.420	0.600	91	pass	no
EHM034849	candidate	EHI_2025	99.79	45	class	0.170	0.070	0.430	0.570	184	pass	no
EHM034857	Akkermansia_amph	EHI_2025	99.99	55	phylum	0.160	0.050	0.630	0.740	71	pass	no
EHM034862	Akkermansia_amph	EHI_2025	100.00	45	order	0.550	0.070	0.430	0.610	86	FAIL	no
EHM034884	Akkermansia_amph	EHI_2025	99.79	45	phylum	0.100	0.070	0.490	0.600	263	pass	no
EHM034886	Akkermansia_amph	EHI_2025	99.97	53	phylum	0.180	0.030	0.630	0.750	61	pass	no
EHM034914	Akkermansia_amph	EHI_2025	76.92	45	order	0.470	0.030	0.430	0.610	532	FAIL	no
EHM035134	candidate	EHI_2025	85.04	61	class	0.230	0.170	0.400	0.580	696	pass	no
EHM035138	Akkermansia_amph	EHI_2025	99.99	52	phylum	0.140	0.020	0.690	0.770	39	pass	no
EHM035162	Akkermansia_amph	EHI_2025	100.00	46	class	0.110	0.050	0.460	0.600	58	pass	no
EHM035176	candidate	EHI_2025	84.18	39	order	0.180	0.040	0.400	0.570	364	pass	no
EHM035226	Akkermansia_amph	EHI_2025	100.00	45	class	0.090	0.030	0.450	0.600	40	pass	no
EHM035240	candidate	EHI_2025	86.67	66	order	0.250	0.120	0.410	0.580	491	pass	no
EHM035248	Akkermansia_amph	EHI_2025	100.00	47	class	0.170	0.030	0.460	0.610	108	pass	no
EHM035309	Akkermansia_amph	EHI_2025	100.00	52	phylum	0.230	0.030	0.670	0.760	56	pass	no
