group	label	genome	completeness	contamination	n_proteins	POCP_to_type	AAI_to_type
akkermansia	AKK_clade01	UHM298.41072_R.bin.118	NA	NA	1653	44.68	55.59
akkermansia	AKK_clade02	GB_GCA_030525455.1	99.99	0.02	1830	48.71	55.95
akkermansia	AKK_clade03	GB_GCA_017517385.1	99.87	0.29	2287	37.56	52.75
akkermansia	AKK_clade04	GB_GCA_904501915.1	83.68	3.21	2060	36.85	51.95
akkermansia	AKK_clade05	UHM1228.23072_R.bin.109	NA	NA	1506	44.95	56.32
akkermansia	AKK_clade06	STP572.12604_R.bin.69	NA	NA	1841	49.08	56.71
akkermansia	AKK_clade07	GB_GCA_947588645.1	95.92	0.03	1867	38.18	51.77
akkermansia	AKK_clade08	GB_GCA_030536145.1	99.78	0.35	2226	38.53	52.03
akkermansia	AKK_clade09	RS_GCF_001683795.1	99.77	5.13	2639	46.57	56.15
akkermansia	AKK_clade10	GB_GCA_947631275.1	95.66	0.24	1778	38.61	51.76
akkermansia	AKK_clade11	GB_GCA_017409465.1	76.71	1.92	1682	36.19	52.51
akkermansia	AKK_clade12	GB_GCA_947626635.1	98.79	0.0	1841	38.89	52.1
akkermansia	AKK_clade13	GB_GCA_017558555.1	89.76	0.39	1829	39.83	52.82
akkermansia	AKK_clade14	GB_GCA_024405415.1	95.14	0.06	1640	40.72	52.68
akkermansia	AKK_clade15	GB_GCA_022787425.1	99.94	0.1	2108	38.65	52.03
akkermansia	AKK_clade16	GB_GCA_944390825.1	96.63	0.19	1837	42.11	52.52
akkermansia	AKK_clade17	UHM969.23061_R.bin.162	NA	NA	2232	44.1	53.82
akkermansia	AKK_clade18	GB_GCA_021200315.1	98.27	0.06	1860	44.88	53.7
akkermansia	AKK_clade19	GB_GCA_947039485.1	95.37	0.05	1840	39.51	51.57
akkermansia	AKK_clade20	GB_GCA_022510805.1	96.75	0.44	1858	40.54	52.34
akkermansia	AKK_clade21	GB_GCA_017521405.1	99.67	2.54	1660	41.68	52.55
akkermansia	AKK_clade22	GB_GCA_002471255.1	82.41	0.05	1737	43.41	55.04
akkermansia	AKK_clade23	GB_GCA_949296365.1	99.6	0.14	2100	52.96	55.67
akkermansia	AKK_clade24	RS_GCF_029854705.2	98.13	0.09	2581	55.85	57.61
candidate	CAND_C286	EHM059405	99.99	0.03	1992	64.15	62.59
candidate	CAND_C287	EHM047778	99.99	0.13	2790	79.95	91.36
candidate	CAND_C289	EHM034774	100.0	0.29	2459	81.44	91.21
candidate	CAND_C290	UHM979.23045_R.bin.163	96.6	2.04	2657	74.51	75.29
candidate	CAND_C291	UHM1171.23069_R.bin.59	97.96	0.68	2501	84.15	90.91
candidate	CAND_C292	UHM967.23060_R.bin.25	98.64	1.36	2107	69.81	68.21
candidate	CAND_C293	UHM989.23064_R.bin.100	95.92	1.02	2384	75.62	75.08
candidate	CAND_C294	UHM1210.41100_R.bin.142	96.56	0.68	2097	61.88	63.07
candidate	CAND_C295	UHM1327.41103_R.bin.200	94.25	0.0	2489	75.18	78.7
candidate	CAND_C296	UHM1327.41103_R.bin.48	95.74	0.68	1977	61.04	62.91
candidate	CAND_C297	EHM059333	99.89	0.37	2688	73.99	75.3
candidate	CAND_C298	STP248.12601_R.bin.118	95.92	0.0	2369	59.38	60.41
candidate	CAND_C299	UHM1088.23067_R.bin.54	98.64	0.0	2031	70.55	67.66
candidate	CAND_C300	UHM298.41072_R.bin.90	96.42	0.0	2047	62.35	63.16
candidate	CAND_C301	UHM905.23056_R.bin.2	86.9	2.04	2823	67.8	75.25
candidate	CAND_C302	UHM973.23044_R.bin.53	95.78	0.68	2407	76.03	78.56
free	CALFBI01	GB_GCA_937951675.1	96.83	0.03	1885	34.74	50.15
free	CALFDI01	GB_GCA_937952875.1	72.08	0.7	2024	28.05	50.19
free	CALLBE01	GB_GCA_938001985.1	69.5	1.18	1189	25.67	49.55
free	CAXIBU01	GB_GCA_964021555.1	96.64	0.12	2843	32.17	50.61
free	Haloferula	GB_GCA_027491155.1	99.67	4.56	4478	27.15	50.64
free	JAPKDA01	GB_GCA_028822695.1	94.66	0.04	2554	30.78	50.27
free	JAXGLL01	GB_GCA_040769225.1	94.25	0.48	4055	27.86	49.21
free	Luteolibacter	GB_GCA_031374665.1	100.0	3.46	2773	32.51	50.29
free	Oceaniferula	RS_GCF_016811075.1	98.48	0.49	3372	30.39	50.2
free	Persicirhabdus	RS_GCF_016595495.1	96.66	0.03	3458	29.62	49.42
free	Roseibacillus	GB_GCA_030673895.1	97.52	0.0	3370	29.1	49.27
free	Roseibacillus_B	GB_GCA_013001695.1	97.17	0.57	4121	26.95	50.17
free	Rubritalea	RS_GCF_039830215.1	98.81	2.66	2722	31.27	50.57
free	SW10	GB_GCA_937916505.1	97.81	1.59	5129	21.97	48.63
free	UBA4581	GB_GCA_002387565.1	90.63	0.01	1420	29.08	47.67
free	UBA956	GB_GCA_945860285.1	98.23	0.18	3108	31.15	50.36
free	WTJZ01	GB_GCA_937991965.1	95.92	0.76	3425	23.83	48.41
