genome	source	completeness	contamination	contigs	rRNA_5S	rRNA_16S	rRNA_23S	tRNA_types	species_cluster	in_reduced_C286	size_Mb	gc_percent	dist_to_genus_median	meets_all_criteria
EHM059008	EHI	100.00	0.11	72	+	-	+	21	C289	no	3.21	49.14	0.056	no
EHM058340	EHI	100.00	0.17	76	+	+	+	21	C289	no	3.29	49.07	0.082	yes
EHM058453	EHI	100.00	0.17	67	+	-	+	21	C289	no	3.33	49.25	0.099	no
EHM059433	EHI	100.00	0.26	114	+	+	+	21	C289	no	3.50	49.08	0.151	yes
EHM034774	EHI	100.00	0.29	94	+	-	-	20	C289	no	3.21	49.14	0.056	no
EHM060058	EHI	99.99	0.01	48	-	+	+	21	C286	YES	2.35	43.68	0.337	no
EHM059405	EHI	99.99	0.03	81	-	-	-	20	C286	YES	2.37	43.90	0.327	no
EHM059794	EHI	99.99	0.03	67	-	-	-	20	C286	YES	2.21	43.59	0.384	no
EHM062335	EHI	99.99	0.03	77	-	-	-	20	C286	YES	2.42	43.72	0.315	no
EHM047778	EHI	99.99	0.13	81	+	-	-	20	C287	no	3.67	48.89	0.210	no
EHM058669	EHI	99.99	1.09	100	-	-	-	20	C289	no	3.28	49.11	0.077	no
EHM059967	EHI	99.98	0.03	44	-	+	-	20	C286	YES	2.30	43.69	0.353	no
EHM059669	EHI	99.98	0.13	163	-	-	-	20	C287	no	4.01	49.12	0.319	no
EHM034802	EHI	99.98	0.18	59	+	-	-	20	C287	no	3.50	49.12	0.152	no
EHM047944	EHI	99.96	0.01	49	-	+	-	20	C286	YES	2.32	43.68	0.347	no
EHM058794	EHI	99.95	0.40	106	+	-	-	20	C287	no	3.65	48.75	0.206	no
EHM059280	EHI	99.94	0.14	91	+	+	+	20	C287	no	3.61	48.86	0.191	yes
EHM062140	EHI	99.92	0.01	38	-	+	-	19	C286	YES	2.21	43.73	0.383	no
EHM059333	EHI	99.89	0.37	53	-	-	-	20	C297	no	3.59	51.41	0.226	no
EHM060011	EHI	99.88	0.01	41	+	+	+	21	C286	YES	2.18	43.63	0.394	no
EHM059230	EHI	99.88	0.19	66	-	-	-	20	C287	no	3.52	49.08	0.158	no
EHM059951	EHI	99.88	0.45	94	-	+	-	19	C287	no	3.39	49.31	0.120	no
EHM058900	EHI	99.81	0.14	78	+	-	-	20	C287	no	3.30	49.07	0.085	no
EHM034849	EHI	99.79	0.64	184	-	-	-	19	C286	YES	2.19	43.80	0.388	no
UHM1088.23067_R.bin.54	UHM	98.64	0.00	17	+	-	-	21	C299	no	2.50	52.72	0.255	no
UHM967.23060_R.bin.25	UHM	98.64	1.36	19	-	+	-	20	C292	no	2.58	52.08	0.216	no
EHM034674	EHI	97.98	0.35	383	+	-	-	20	C289	no	3.09	49.06	0.015	no
UHM1073.23039_R.bin.125	UHM	97.96	0.00	41	-	-	-	20	C288	no	3.20	48.58	0.061	no
UHM1210.23070_R.bin.42	UHM	97.96	0.00	86	+	+	-	19	C291	no	3.07	48.28	0.023	no
UHM1210.41100_R.bin.82	UHM	97.96	0.00	87	+	+	-	19	C291	no	3.05	48.29	0.017	no
UHM984.41091_R.bin.130	UHM	97.96	0.00	38	-	-	-	20	C288	no	3.07	48.54	0.017	no
UHM993.23065_R.bin.137	UHM	97.96	0.00	45	+	-	-	19	C288	no	3.23	48.46	0.073	no
UHM984.23047_R.bin.124	UHM	97.96	0.04	39	-	-	-	20	C288	no	3.09	48.55	0.024	no
UHM1171.23069_R.bin.59	UHM	97.96	0.68	92	+	-	+	20	C291	no	3.26	48.28	0.087	no
UHM989.23064_R.bin.46	UHM	97.96	2.38	26	+	-	-	20	C292	no	2.56	52.15	0.224	no
EHM058709	EHI	97.85	1.18	217	-	-	-	20	C289	no	3.09	49.23	0.019	no
UHM978.41088_R.bin.48	UHM	97.76	2.38	42	-	-	-	20	C288	no	3.12	48.67	0.034	no
UHM1080.23066_R.bin.163	UHM	97.28	0.00	40	-	-	-	20	C288	no	3.18	48.47	0.055	no
UHM1171.41104_R.bin.105	UHM	97.28	0.00	114	+	-	-	20	C291	no	3.35	48.18	0.117	no
UHM1228.23072_R.bin.121	UHM	97.28	0.00	174	+	+	-	20	C291	no	3.02	48.43	0.020	no
UHM982.23046_R.bin.5	UHM	97.28	0.00	114	+	-	-	19	C288	no	3.09	48.80	0.020	no
UHM993.41094_R.bin.6	UHM	97.28	0.03	54	-	-	-	20	C288	no	3.17	48.55	0.050	no
UHM1088.23067_R.bin.32	UHM	97.28	2.72	55	+	-	-	20	C288	no	3.32	48.64	0.100	no
UHM975.23062_R.bin.227	UHM	97.28	3.74	38	+	-	+	20	C288	no	3.15	48.78	0.041	no
UHM979.23045_R.bin.164	UHM	96.89	1.36	73	+	-	-	20	C292	no	2.41	52.56	0.279	no
EHM059216	EHI	96.69	0.23	261	-	-	-	20	C289	no	3.23	49.07	0.060	no
EHM034692	EHI	96.65	0.29	305	+	-	-	20	C287	no	3.21	49.07	0.055	no
UHM982.41090_R.bin.126	UHM	96.60	0.00	46	+	-	-	20	C288	no	3.14	48.47	0.044	no
UHM989.41093_R.bin.9	UHM	96.60	1.02	34	+	-	+	20	C292	no	2.45	52.14	0.258	no
UHM979.23045_R.bin.163	UHM	96.60	2.04	48	+	-	-	20	C290	no	3.55	51.54	0.215	no
UHM1228.23072_R.bin.133	UHM	96.56	0.00	48	+	-	-	20	C294	no	2.56	48.99	0.161	no
UHM1228.41102_R.bin.234	UHM	96.56	0.00	64	+	-	-	20	C294	no	2.56	48.94	0.163	no
UHM1210.41100_R.bin.142	UHM	96.56	0.68	52	-	-	-	20	C294	no	2.49	48.93	0.185	no
UHM298.41072_R.bin.90	UHM	96.42	0.00	52	+	-	-	20	C300	no	2.44	49.41	0.205	no
EHM034720	EHI	96.42	0.31	258	-	+	-	18	C286	YES	2.33	43.76	0.344	no
EHM060080	EHI	96.32	1.65	348	-	-	-	19	C287	no	3.62	49.05	0.188	no
STP248.12601_R.bin.118	UHM	95.92	0.00	44	-	-	-	20	C298	no	3.18	43.46	0.158	no
UHM989.23064_R.bin.223	UHM	95.92	0.00	39	+	-	-	20	C288	no	3.05	48.66	0.008	no
UHM989.23064_R.bin.100	UHM	95.92	1.02	37	+	-	-	19	C293	no	3.06	52.41	0.073	no
UHM969.23061_R.bin.75	UHM	95.92	2.04	55	+	-	-	20	C290	no	3.43	51.69	0.179	no
UHM979.41089_R.bin.108	UHM	95.92	2.04	51	-	-	-	20	C290	no	3.52	51.56	0.208	no
UHM1210.23070_R.bin.101	UHM	95.88	0.00	49	+	-	-	20	C294	no	2.38	49.02	0.219	no
UHM973.23044_R.bin.53	UHM	95.78	0.68	44	+	+	+	21	C302	no	3.12	50.79	0.061	yes
UHM1327.41103_R.bin.48	UHM	95.74	0.68	59	+	+	-	20	C296	no	2.29	49.38	0.256	no
UHM1327.23073_R.bin.92	UHM	95.06	0.00	98	-	-	-	20	C296	no	2.28	49.36	0.259	no
UHM1073.41096_R.bin.3	UHM	94.56	0.08	102	+	-	-	18	C288	no	3.08	48.59	0.021	no
UHM1088.23067_R.bin.120	UHM	94.56	0.68	53	+	-	-	20	C293	no	3.09	52.60	0.086	no
UHM984.23047_R.bin.181	UHM	94.56	2.04	61	+	-	-	19	C290	no	3.27	51.77	0.130	no
UHM989.41093_R.bin.78	UHM	94.56	3.63	48	+	-	-	19	C288	no	3.04	48.69	0.007	no
EHM047810	EHI	94.49	2.33	274	-	-	-	20	C287	no	3.33	49.15	0.094	no
EHM047981	EHI	94.26	1.76	337	-	-	-	18	C286	YES	2.20	43.94	0.382	no
UHM1327.41103_R.bin.200	UHM	94.25	0.00	99	-	-	-	19	C295	no	3.17	49.21	0.043	no
UHM967.23060_R.bin.185	UHM	93.88	0.68	46	-	-	-	18	C288	no	3.16	48.54	0.047	no
UHM975.23062_R.bin.127	UHM	93.88	0.68	58	-	-	-	19	C292	no	2.32	52.51	0.308	no
UHM1080.41097_R.bin.147	UHM	93.66	1.02	261	-	-	-	19	C288	no	3.11	48.60	0.029	no
UHM979.41089_R.bin.103	UHM	93.42	1.36	186	+	-	-	18	C292	no	2.41	52.39	0.277	no
UHM984.41091_R.bin.113	UHM	93.38	3.61	248	-	-	-	20	C290	no	3.23	51.63	0.115	no
UHM298.41072_R.bin.71	UHM	93.07	0.68	353	-	-	-	20	C291	no	3.01	48.61	0.022	no
UHM1327.23073_R.bin.116	UHM	93.06	0.68	172	-	+	+	20	C295	no	2.92	49.63	0.052	no
UHM1228.41102_R.bin.214	UHM	92.18	0.68	311	-	-	-	16	C291	no	2.88	48.52	0.065	no
EHM048000	EHI	92.18	1.36	415	-	-	-	19	C287	no	3.38	49.05	0.110	no
EHM047953	EHI	91.55	0.39	555	-	+	-	17	C287	no	2.83	49.95	0.089	no
UHM993.23065_R.bin.40	UHM	91.16	0.68	31	+	-	-	17	C293	no	2.95	52.14	0.095	no
UHM989.41093_R.bin.4	UHM	91.09	2.72	45	+	-	-	19	C293	no	2.98	52.53	0.093	no
UHM993.41094_R.bin.28	UHM	90.82	0.68	42	+	-	-	20	C293	no	2.98	52.19	0.086	no
UHM978.41088_R.bin.167	UHM	89.80	2.86	276	+	-	-	16	C292	no	2.24	52.28	0.330	no
UHM905.23056_R.bin.2	UHM	86.90	2.04	646	-	-	-	18	C301	no	3.01	51.59	0.062	no
