genus	rep	C1	C2	T1	T2	POCP_pct
Akkermansia	RS_GCF_040616545.1	1264	1281	2407	2439	52.52
CALFBI01	GB_GCA_937951675.1	743	748	2407	1885	34.74
CALFDI01	GB_GCA_937952875.1	590	653	2407	2024	28.05
CALLBE01	GB_GCA_938001985.1	430	493	2407	1189	25.67
CAXIBU01	GB_GCA_964021555.1	833	856	2407	2843	32.17
Haloferula	GB_GCA_027491155.1	919	951	2407	4478	27.16
JAPKDA01	GB_GCA_028822695.1	752	775	2407	2554	30.78
JAXGLL01	GB_GCA_040769225.1	885	916	2407	4055	27.87
Luteolibacter	GB_GCA_031374665.1	827	857	2407	2773	32.51
Oceaniferula	RS_GCF_016811075.1	866	890	2407	3372	30.39
Persicirhabdus	RS_GCF_016595495.1	861	877	2407	3458	29.63
Roseibacillus	GB_GCA_030673895.1	833	848	2407	3370	29.10
Roseibacillus_B	GB_GCA_013001695.1	853	906	2407	4121	26.95
Rubritalea	RS_GCF_039830215.1	766	838	2407	2722	31.27
SW10	GB_GCA_937916505.1	805	852	2407	5129	21.99
UBA4581	GB_GCA_002387565.1	551	562	2407	1420	29.08
UBA956	GB_GCA_945860285.1	854	864	2407	3108	31.15
WTJZ01	GB_GCA_937991965.1	685	705	2407	3425	23.83
