amphibian_genome	ref_accession	ref_species	dali_clade	AAI_pct	n_RBH
EHM034529	RS_GCF_000020225.1	A. muciniphila	mammal	58.76	1323
EHM034529	RS_GCF_023516715.1	A. massiliensis	mammal	58.28	1368
EHM034529	RS_GCF_026072915.1	A. biwaensis	mammal	58.57	1339
EHM034529	RS_GCF_001683795.1	A. glycaniphila	reptile	59.83	1290
EHM034529	GB_GCA_019115065.1	A. intestinavium	avian	55.00	1123
EHM034529	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.95	1079
EHM034545	RS_GCF_000020225.1	A. muciniphila	mammal	58.62	1321
EHM034545	RS_GCF_023516715.1	A. massiliensis	mammal	58.38	1353
EHM034545	RS_GCF_026072915.1	A. biwaensis	mammal	58.53	1337
EHM034545	RS_GCF_001683795.1	A. glycaniphila	reptile	59.93	1278
EHM034545	GB_GCA_019115065.1	A. intestinavium	avian	54.90	1118
EHM034545	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.86	1076
EHM034581	RS_GCF_000020225.1	A. muciniphila	mammal	77.42	1728
EHM034581	RS_GCF_023516715.1	A. massiliensis	mammal	76.81	1857
EHM034581	RS_GCF_026072915.1	A. biwaensis	mammal	78.02	1788
EHM034581	RS_GCF_001683795.1	A. glycaniphila	reptile	58.15	1476
EHM034581	GB_GCA_019115065.1	A. intestinavium	avian	54.25	1224
EHM034581	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.07	1180
EHM034590	RS_GCF_000020225.1	A. muciniphila	mammal	59.04	1118
EHM034590	RS_GCF_023516715.1	A. massiliensis	mammal	58.56	1148
EHM034590	RS_GCF_026072915.1	A. biwaensis	mammal	59.04	1127
EHM034590	RS_GCF_001683795.1	A. glycaniphila	reptile	60.17	1082
EHM034590	GB_GCA_019115065.1	A. intestinavium	avian	54.89	945
EHM034590	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.77	913
EHM034661	RS_GCF_000020225.1	A. muciniphila	mammal	77.39	1730
EHM034661	RS_GCF_023516715.1	A. massiliensis	mammal	76.97	1845
EHM034661	RS_GCF_026072915.1	A. biwaensis	mammal	78.02	1790
EHM034661	RS_GCF_001683795.1	A. glycaniphila	reptile	58.24	1475
EHM034661	GB_GCA_019115065.1	A. intestinavium	avian	54.27	1225
EHM034661	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.16	1179
EHM034722	RS_GCF_000020225.1	A. muciniphila	mammal	58.81	1212
EHM034722	RS_GCF_023516715.1	A. massiliensis	mammal	58.10	1264
EHM034722	RS_GCF_026072915.1	A. biwaensis	mammal	58.53	1238
EHM034722	RS_GCF_001683795.1	A. glycaniphila	reptile	59.98	1179
EHM034722	GB_GCA_019115065.1	A. intestinavium	avian	54.97	1033
EHM034722	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.70	993
EHM034775	RS_GCF_000020225.1	A. muciniphila	mammal	77.77	1637
EHM034775	RS_GCF_023516715.1	A. massiliensis	mammal	78.10	1695
EHM034775	RS_GCF_026072915.1	A. biwaensis	mammal	78.50	1667
EHM034775	RS_GCF_001683795.1	A. glycaniphila	reptile	58.48	1372
EHM034775	GB_GCA_019115065.1	A. intestinavium	avian	54.55	1164
EHM034775	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.43	1121
