Protein ID	Source	Chrom	Start	Novelty	Support	Category	Gene family	Length (aa)	Similarity to selected	Ingroup	Outgroup	TBLASTN	Gene	Product	Source of annotation	Pfam domains	C286 (in)	C287 (in)	C288 (in)	C289 (in)	C294 (in)	C298 (in)	clade01 (out)	clade02 (out)	clade03 (out)	clade04 (out)	clade05 (out)	clade06 (out)	clade07 (out)	clade08 (out)	clade01 (tblastn)	clade02 (tblastn)	clade03 (tblastn)	clade04 (tblastn)	clade05 (tblastn)	clade06 (tblastn)	clade07 (tblastn)	clade08 (tblastn)
C289:EHM034674|EHA02355_bin.24_gene_116_2	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_116_2 (2)	1015		6/6	0/8	8/8		Non-specific serine/threonine protein kinase	ModelOrg_C289	Helicase_C,SNF2-rel_dom,SNF2_assoc	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_123_8	C289			yes	pairwise		EHM034720|EHA02359_bin.2_gene_81_4 (4)	204		6/6	0/8	0/8		ADK_lid,Phage_holin_3_6,YmiA-like,Zn_ribbon_4	Pfam	ADK_lid,Phage_holin_3_6,YmiA-like,Zn_ribbon_4	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_128_12	C289			yes	pairwise		STP248.12601_R.bin.118|k141_771786_39 (6)	273		6/6	0/8	0/8		DUF432	Pfam	DUF432	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_12_2	C289			yes	pairwise			247		6/6	0/8	4/8		A1_Propeptide,Allatotropin-like_C,Arc_PepC_II,Arg_decarbox_C,DUF4880,DUF7151,DUF8110,EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8,FCaBP_EF-hand,HBS1_N,SPARC_Ca_bdg	Pfam	A1_Propeptide,Allatotropin-like_C,Arc_PepC_II,Arg_decarbox_C,DUF4880,DUF7151,DUF8110,EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8,FCaBP_EF-hand,HBS1_N,SPARC_Ca_bdg	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_131_15	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_166_5 (6)	263		6/6	0/8	8/8		CLE_peptide,Raptor_N,Sel1,TPR_2	Pfam	CLE_peptide,Raptor_N,Sel1,TPR_2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_139_12	C289			yes	pairwise		UHM1210.23070_R.bin.101|k141_1343831_35 (4)	216		6/6	0/8	6/8		DUF6893,LysE	Pfam	DUF6893,LysE	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0
C289:EHM034674|EHA02355_bin.24_gene_139_6	C289			yes	pairwise		EHM034720|EHA02359_bin.2_gene_57_3 (6)	151		6/6	0/8	0/8		GAF,GAF_2,GAF_3,GAF_EFCB5_2nd	Pfam	GAF,GAF_2,GAF_3,GAF_EFCB5_2nd	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_13_1	C289			yes	pairwise			1232		6/6	0/8	1/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C289:EHM034674|EHA02355_bin.24_gene_140_2	C289			yes	pairwise		STP248.12601_R.bin.118|k141_962093_34 (6)	413		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_140_3	C289			yes	pairwise		UHM1210.23070_R.bin.101|k141_1135903_47 (5)	235		6/6	0/8	0/8		TP_methylase	Pfam	TP_methylase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_140_7	C289			yes	pairwise		EHM034720|EHA02359_bin.2_gene_202_2 (5)	187		6/6	0/8	3/8		RNase_H_2,RNase_T,Rv2179c-like	Pfam	RNase_H_2,RNase_T,Rv2179c-like	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
C289:EHM034674|EHA02355_bin.24_gene_154_13	C289			yes	pairwise		EHM034720|EHA02359_bin.2_gene_55_23 (7)	1009		6/6	0/8	2/8		Formylglycine-generating enzyme family protein	ModelOrg_C289	CBM_35,Cytochrome_C7,Cytochrome_CBB3,Cytochrom_C,Cytochrom_CIII,HZS_alpha,Paired_CXXCH_1,PccH,PD40,Tricorn_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_154_3	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_206_18 (3)	435		6/6	0/8	4/8		Squalene cyclase C-terminal domain-containing protein	ModelOrg_C289	DUF829,SQHop_cyclase_C,SQHop_cyclase_N,TED_complement	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_164_2	C289			yes	pairwise			152		6/6	0/8	1/8		DUF4131,DUF4149,Imm17,Prd_NiFe_hyd_3_EhaI	Pfam	DUF4131,DUF4149,Imm17,Prd_NiFe_hyd_3_EhaI	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_175_3	C289			yes	pairwise		STP248.12601_R.bin.118|k141_588353_61 (5)	298		6/6	0/8	8/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_183_8	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_183_8 (2)	529		6/6	0/8	8/8		CG7065_mid_helical,Rotamase_2,SurA_N_2,SurA_N_3	Pfam	CG7065_mid_helical,Rotamase_2,SurA_N_2,SurA_N_3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_194_6	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_194_6 (5)	785		6/6	0/8	0/8		CARDB,Cep192_D5,DNA_pol_phi,EcoEI_R_C,Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	Pfam	CARDB,Cep192_D5,DNA_pol_phi,EcoEI_R_C,Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_1_4	C289			yes	pairwise		UHM1210.23070_R.bin.101|k141_35550_25 (6)	150		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
