Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM1088.23067_R.bin.54.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	83.33	14.01	13.79	k141_673033	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM967.23060_R.bin.25.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	82.91	12.03	12.23	k141_593223	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM989.23064_R.bin.46.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	82.80	12.22	12.32	k141_52417	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM989.41093_R.bin.9.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	82.72	12.77	12.35	k141_258974	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM975.23062_R.bin.127.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	82.71	12.34	11.30	k141_518813	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM979.23045_R.bin.164.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	82.38	11.72	11.16	k141_1060281	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM979.41089_R.bin.103.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	82.33	9.81	9.31	k141_180528	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
/bigdata/stajichlab/lshad003/ch3-chitin-evolution/data/amphibia_gtdbtk_input/UHM978.41088_R.bin.167.fa	/bigdata/stajichlab/lshad003/ch3-chitin-evolution/results/caznvw_tree/genome/CAZNVW01.fna	82.26	8.95	7.91	k141_721790	CAZNVW010000001.1 MAG TPA_asm: uncultured Verrucomicrobiales bacterium isolate SRP242652_co2_153 genome assembly, contig: NODE_852_length_50265_cov_5.636507, whole genome shotgun sequence
