genus	representative_genome	AAI_pct_to_type_genome	AAI_range	POCP_pct_to_type_genome	POCP_range	n_proteins_representative
Akkermansia (reference RS_GCF_040616545.1)	RS_GCF_040616545.1	56.77		52.52		
Akkermansia (24 clade representatives)	see members.tsv	52.72	51.57-57.61	41.20	36.19-55.85	
Haloferula	GB_GCA_027491155.1	50.64		27.15		4478
CAXIBU01	GB_GCA_964021555.1	50.61		32.17		2843
Rubritalea	RS_GCF_039830215.1	50.57		31.27		2722
UBA956	GB_GCA_945860285.1	50.36		31.15		3108
Luteolibacter	GB_GCA_031374665.1	50.29		32.51		2773
JAPKDA01	GB_GCA_028822695.1	50.27		30.78		2554
Oceaniferula	RS_GCF_016811075.1	50.20		30.39		3372
CALFDI01	GB_GCA_937952875.1	50.19		28.05		2024
Roseibacillus_B	GB_GCA_013001695.1	50.17		26.95		4121
CALFBI01	GB_GCA_937951675.1	50.15		34.74		1885
CALLBE01	GB_GCA_938001985.1	49.55		25.67		1189
Persicirhabdus	RS_GCF_016595495.1	49.42		29.62		3458
Roseibacillus	GB_GCA_030673895.1	49.27		29.10		3370
JAXGLL01	GB_GCA_040769225.1	49.21		27.86		4055
SW10	GB_GCA_937916505.1	48.63		21.97		5129
WTJZ01	GB_GCA_937991965.1	48.41		23.83		3425
UBA4581	GB_GCA_002387565.1	47.67		29.08		1420
